,expert,max_year,min_year,num_years,rank,less_years,avg_rank_by_year
65,Derek Dennington,2024,2021,4,313,-4,78.25
66,Benjamin Klotz,2024,2021,4,318,-4,79.5
67,Scott Pianowski,2024,2017,8,636,0,79.5
68,Site Rankings,2024,2017,29,2308,21,79.58620689655173
69,Richard Savill,2024,2017,8,648,0,81.0
70,Andrew Erickson,2024,2018,7,576,-1,82.28571428571429
71,Wolf of Roto Street,2024,2020,5,412,-3,82.4
72,Jason Willan,2024,2017,8,660,0,82.5
73,Andy Behrens,2024,2017,8,662,0,82.75
74,Scott Whitfield,2024,2017,7,580,-1,82.85714285714286
75,Matt Schauf,2024,2017,8,674,0,84.25
76,Todd D Clark,2024,2019,6,506,-2,84.33333333333333
77,Jeff Bell,2024,2022,3,253,-5,84.33333333333333
78,Chet Gresham,2024,2018,6,508,-2,84.66666666666667
79,Jeff Boggis,2024,2017,8,697,0,87.125
80,Rich Piazza,2024,2017,8,701,0,87.625
81,Scott Engel,2024,2017,8,702,0,87.75
82,Kate Magdziuk,2024,2020,3,265,-5,88.33333333333333
83,Nick Zylak,2024,2018,7,627,-1,89.57142857142857
84,Michael Tomlin,2024,2017,8,720,0,90.0
85,John Hesterman,2024,2020,5,463,-3,92.6
86,Dave Kluge,2024,2021,4,378,-4,94.5
87,David Heilman,2024,2022,3,285,-5,95.0
88,Mike Harmon,2024,2017,8,778,0,97.25
89,Aaron Larson,2024,2021,4,391,-4,97.75
90,Chris Dell,2024,2020,5,505,-3,101.0
91,Bobby LaMarco,2024,2022,3,305,-5,101.66666666666667
92,Derek Brown,2024,2018,4,408,-4,102.0
93,Steve DeAngelo,2024,2022,3,307,-5,102.33333333333333
94,Drew DeLuca,2024,2020,5,522,-3,104.4
95,Daniel Mader,2024,2021,4,421,-4,105.25
96,NaderSaba,2024,2021,3,319,-5,106.33333333333333
97,Richard King,2024,2020,5,537,-3,107.4
98,Nate Marcum,2024,2021,4,434,-4,108.5
99,Jorge B. Edwards,2024,2021,4,439,-4,109.75
100,Muntradamus,2024,2017,3,331,-5,110.33333333333333
101,Jeff Paur,2024,2017,8,890,0,111.25
102,Adam Murfet,2024,2021,4,453,-4,113.25
103,Steven Pintado,2024,2020,5,572,-3,114.4
104,Jeremy Popielarz ,2024,2022,3,345,-5,115.0
105,Jaime Eisner,2024,2021,4,463,-4,115.75
106,Dan Yanotchko,2024,2017,8,927,0,115.875
107,Ryan Hicks,2024,2021,4,469,-4,117.25
108,Joe Pisapia,2024,2021,4,469,-4,117.25
109,Matt Donnelly,2024,2022,3,359,-5,119.66666666666667
110,Scott Spratt,2024,2018,7,841,-1,120.14285714285714
111,Adrian Alpanseque,2024,2021,4,482,-4,120.5
112,Garret Price,2024,2020,4,483,-4,120.75
113,Walter Cherepinsky,2024,2017,6,731,-2,121.83333333333333
114,Morgan Colby,2024,2020,5,616,-3,123.2
115,C.H. Herms,2024,2022,3,370,-5,123.33333333333333
116,Ellis Johnson,2024,2021,4,504,-4,126.0
117,Matt Harmon,2024,2020,4,527,-4,131.75
118,Kevin Steele,2024,2022,3,400,-5,133.33333333333334
119,Kevin Roberts,2024,2017,5,669,-3,133.8
120,Kyle Cunningham-Rhoads,2024,2019,5,671,-3,134.2
121,Lenny Pappano,2024,2021,3,409,-5,136.33333333333334
122,Andersen Pickard,2024,2022,3,409,-5,136.33333333333334
123,Scott Bogman,2024,2021,4,547,-4,136.75
124,Guilherme Gianni,2024,2022,3,415,-5,138.33333333333334
125,Ryan Weisse,2024,2021,4,561,-4,140.25
126,Mason Riney,2024,2022,3,425,-5,141.66666666666666
127,Michelle Magdziuk,2024,2020,3,429,-5,143.0
128,Raju Byfield,2024,2018,7,1025,-1,146.42857142857142
129,Joe Serpico,2024,2022,3,447,-5,149.0
130,Mark Ringo,2024,2021,4,598,-4,149.5
131,Tal Malachovsky,2024,2020,5,748,-3,149.6
132,Kyle Senra,2024,2022,3,455,-5,151.66666666666666
133,Smitty,2024,2019,6,929,-2,154.83333333333334
134,Adam Dove,2024,2022,3,474,-5,158.0
